Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Braze  Inc.,BRZE,Short,Filled,10,10,@28.87,28.87,DAY,10/06/2025 15:44:56 EDT,10/06/2025 15:44:56 EDT
Twist Bioscience,TWST,Short,Filled,10,10,@32.47,32.47,DAY,10/06/2025 15:28:37 EDT,10/06/2025 15:28:37 EDT
Publ Svc Enter,PEG,Buy,Filled,10,10,@81.34,81.34,DAY,10/06/2025 15:25:52 EDT,10/06/2025 15:26:03 EDT
Mccormick & Co,MKC,Short,Filled,15,15,@68.26,68.26,DAY,10/06/2025 15:24:18 EDT,10/06/2025 15:29:53 EDT
Braze  Inc.,BRZE,Short,Filled,15,15,@29.34,29.34,DAY,10/06/2025 15:20:29 EDT,10/06/2025 15:32:02 EDT
Occidental Pet,OXY,Short,Filled,25,25,@45.48,45.48,DAY,10/06/2025 15:01:29 EDT,10/06/2025 15:05:28 EDT
Purecycle Technologies Inc,PCT,Short,Filled,25,25,@14.54,14.54,DAY,10/06/2025 12:46:54 EDT,10/06/2025 12:47:04 EDT
The Interpublic Group,IPG,Buy,Filled,50,50,@26.99,26.99,DAY,10/06/2025 11:39:31 EDT,10/06/2025 11:39:57 EDT
Serve Robotics,SERV,Sell,Filled,10,10,@14.70,14.70,DAY,10/06/2025 11:29:17 EDT,10/06/2025 11:30:30 EDT
Centerpoint Energy Inc,CNP,Buy,Filled,20,20,@39.22,39.22,DAY,10/06/2025 10:59:55 EDT,10/06/2025 10:59:55 EDT
Uber Technologies,UBER,Sell,Filled,10,10,@99.77,99.77,DAY,10/06/2025 10:43:02 EDT,10/06/2025 10:47:43 EDT
Orla Mng,ORLA,Buy,Filled,25,25,@11.39,11.39,DAY,10/06/2025 10:33:28 EDT,10/06/2025 10:33:28 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Short,Filled,25,25,@5.11,5.11,DAY,10/06/2025 10:12:34 EDT,10/06/2025 10:16:38 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,10,10,@52.24,52.24,DAY,10/06/2025 10:11:49 EDT,10/06/2025 10:11:49 EDT
Serve Robotics,SERV,Sell,Filled,15,15,@14.50,14.50,DAY,10/06/2025 10:09:17 EDT,10/06/2025 10:30:17 EDT
NuScale Power Corporation,SMR,Sell,Filled,5,5,@42.12,42.12,DAY,10/06/2025 09:58:12 EDT,10/06/2025 10:08:45 EDT
The Interpublic Group,IPG,Buy,Filled,15,15,@26.88,26.88,DAY,10/06/2025 09:48:11 EDT,10/06/2025 09:48:11 EDT
Orla Mng,ORLA,Sell,Filled,25,25,@11.56,11.56,DAY,10/06/2025 09:46:53 EDT,10/06/2025 09:46:54 EDT
Starbucks Corp,SBUX,Sell,Filled,40,40,@83.87,83.87,DAY,10/06/2025 09:42:02 EDT,10/06/2025 09:42:03 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,10,10,@52.55,52.55,DAY,10/06/2025 09:38:13 EDT,10/06/2025 09:38:13 EDT
Hertz Global Hld,HTZ,Buy,Filled,20,20,@5.80,5.80,DAY,10/06/2025 09:37:13 EDT,10/06/2025 09:37:13 EDT
Hertz Global Hld,HTZ,Buy,Filled,30,30,@5.77,5.77,DAY,10/06/2025 09:36:45 EDT,10/06/2025 09:36:45 EDT
NuScale Power Corporation,SMR,Sell,Filled,20,20,@43.54,43.54,DAY,10/06/2025 09:31:56 EDT,10/06/2025 09:53:39 EDT
Uber Technologies,UBER,Sell,Filled,20,20,@98.97,98.97,DAY,10/06/2025 08:11:25 EDT,10/06/2025 09:33:52 EDT
Serve Robotics,SERV,Sell,Filled,75,75,@13.97,13.97,DAY,10/06/2025 08:09:56 EDT,10/06/2025 09:44:53 EDT
Serve Robotics,SERV,Buy,Filled,50,50,@13.20,13.20,DAY,10/03/2025 15:08:37 EDT,10/03/2025 15:08:37 EDT
Nike Inc Cl B,NKE,Short,Filled,10,10,@72.32,72.32,DAY,10/03/2025 14:18:37 EDT,10/03/2025 14:18:52 EDT
Serve Robotics,SERV,Buy,Filled,50,50,@13.01,13.01,DAY,10/03/2025 13:38:49 EDT,10/03/2025 13:39:19 EDT
Hertz Global Hld,HTZ,Buy,Filled,50,50,@6.26,6.26,DAY,10/03/2025 13:36:30 EDT,10/03/2025 14:55:43 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,10,10,@53.50,53.50,DAY,10/03/2025 13:33:28 EDT,10/03/2025 13:33:28 EDT
Nike Inc Cl B,NKE,Buy,Filled,15,15,@72.78,72.78,DAY,10/03/2025 13:32:18 EDT,10/03/2025 13:32:18 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Short,Filled,50,50,@5.32,5.32,DAY,10/03/2025 10:45:31 EDT,10/03/2025 10:45:31 EDT
Nike Inc Cl B,NKE,Short,Filled,15,15,@73.71,73.71,DAY,10/03/2025 10:03:05 EDT,10/03/2025 10:03:10 EDT
Occidental Pet,OXY,Short,Filled,15,15,@44.74,44.74,DAY,10/03/2025 10:01:54 EDT,10/03/2025 10:09:45 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,75,75,@5.43,5.43,DAY,10/03/2025 09:56:50 EDT,10/03/2025 09:56:50 EDT
NuScale Power Corporation,SMR,Buy,Filled,10,10,@40.76,40.76,DAY,10/03/2025 09:55:19 EDT,10/03/2025 09:55:44 EDT
Uber Technologies,UBER,Buy,Filled,10,10,@95.86,95.86,DAY,10/02/2025 15:11:45 EDT,10/02/2025 15:11:45 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Short,Filled,100,100,@5.22,5.22,DAY,10/02/2025 15:11:13 EDT,10/02/2025 15:12:55 EDT
The Interpublic Group,IPG,Buy,Filled,15,15,@26.30,26.30,DAY,10/02/2025 14:33:43 EDT,10/02/2025 14:33:43 EDT
Uber Technologies,UBER,Buy,Filled,5,5,@95.50,95.50,DAY,10/02/2025 14:00:28 EDT,10/02/2025 14:00:28 EDT
